TIMESTAMP;M_MODULE_ID;M_ENERGY_CONSUMPTION;M_APPARENT_POWER
02.10.2015 17:15;1;40000;7
02.10.2015 17:15;2;43000;13
02.10.2015 17:15;3;42000;17
02.10.2015 17:15;4;41000;11
02.10.2015 17:15;6;44000;23
02.10.2015 17:15;7;45000;19
02.10.2015 17:15;8;46000;15
02.10.2015 17:15;9;47000;16
02.10.2015 17:15;5;48000;14
02.10.2015 17:15;1;40007;7
02.10.2015 17:15;2;43013;13
02.10.2015 17:15;3;42017;17
02.10.2015 17:15;4;41011;11
02.10.2015 17:15;6;44023;23
02.10.2015 17:15;7;45019;19
02.10.2015 17:15;8;46015;15
02.10.2015 17:15;9;47016;16
02.10.2015 17:15;5;48014;14
02.10.2015 17:16;1;40014;7
02.10.2015 17:16;2;43026;13
02.10.2015 17:16;3;42034;17
02.10.2015 17:16;4;41022;11
02.10.2015 17:16;6;44046;23
02.10.2015 17:16;7;45038;19
02.10.2015 17:16;8;46030;15
02.10.2015 17:16;9;47032;16
02.10.2015 17:16;5;48028;14
02.10.2015 17:16;1;40021;7
02.10.2015 17:16;2;43039;13
02.10.2015 17:16;3;42051;17
02.10.2015 17:16;4;41033;11
02.10.2015 17:16;6;44069;23
02.10.2015 17:16;7;45057;19
02.10.2015 17:16;8;46045;15
02.10.2015 17:16;9;47048;16
02.10.2015 17:16;5;48042;14
02.10.2015 17:17;1;40028;7
02.10.2015 17:17;2;43052;13
02.10.2015 17:17;3;42068;17
02.10.2015 17:17;4;41044;11
02.10.2015 17:17;6;44092;23
02.10.2015 17:17;7;45076;19
02.10.2015 17:17;8;46060;15
02.10.2015 17:17;9;47064;16
02.10.2015 17:17;5;48056;14
02.10.2015 17:17;1;40035;7
02.10.2015 17:17;2;43065;13
02.10.2015 17:17;3;42085;17
02.10.2015 17:17;4;41055;11
02.10.2015 17:17;6;44115;23
02.10.2015 17:17;7;45095;19
02.10.2015 17:17;8;46075;15
02.10.2015 17:17;9;47080;16
02.10.2015 17:17;5;48070;14
02.10.2015 17:18;1;40042;7
02.10.2015 17:18;2;43078;13
02.10.2015 17:18;3;42102;17
02.10.2015 17:18;4;41066;11
02.10.2015 17:18;6;44138;23
02.10.2015 17:18;7;45114;19
02.10.2015 17:18;8;46090;15
02.10.2015 17:18;9;47096;16
02.10.2015 17:18;5;48084;14
02.10.2015 17:18;1;40049;7
02.10.2015 17:18;2;43091;13
02.10.2015 17:18;3;42119;17
02.10.2015 17:18;4;41077;11
02.10.2015 17:18;6;44161;23
02.10.2015 17:18;7;45133;19
02.10.2015 17:18;8;46105;15
02.10.2015 17:18;9;47112;16
02.10.2015 17:18;5;48098;14
02.10.2015 17:19;1;40056;7
02.10.2015 17:19;2;43104;13
02.10.2015 17:19;3;42136;17
